LastName,FirstName,Recall,PositiveRating,PerfRatio,Impact
Fisher,Beth,0.5215985824,0.536740665,4.02,28
Janner,Jessica,0.3973825735,0.5874306156,5.87,23
Manalo,Micah,0.37917683,0.5401912371,1.98,20
Lubitz,Spencer,0.3734967626,0.4786582875,2.36,18
Guevara,Don,0.3345871211,0.4909936945,1.99,16
Bennett,Greg,0.3444747359,0.5464584556,2.81,19
Carson,Ilona ,0.6812977099,0.6218487395,3.89,42
Ward,Dave,0.893129771,0.6581196581,4.34,59
Gaston,Gina,0.7919847328,0.6,4.15,48
Lawson,Melanie,0.7767175573,0.6191646192,4.34,48
Rascon,Art,0.713740458,0.5588235294,2.9,40
Barajas,Erik,0.7041984733,0.5772357724,4.18,41
Heller,Tim,0.677480916,0.7098591549,5.73,48
Arakawa,Adele,0.9507692308,0.6375404531,5.47,61
Clark,Kyle,0.8584615385,0.6200716846,4.33,53
Beamish,Jeff,0.5936105952,0.6932338754,15.96,41
Overall,John,0.6073387151,0.5184225057,2.74,31
Lerner,Danielle,0.4970578149,0.5732222864,3.74,28
Tedesco,Kristi,0.8021780494,0.6024481076,4.3,48
McNamara,Tom,0.7540222553,0.5828797774,3.96,44
Alexander,Allison,0.3467981801,0.5434509345,2.86,19
Dabkovich,John,0.4783054495,0.6122326628,4.94,29
Swensk,Sherry,0.7674048365,0.6563271364,6.76,50
Jay,Stefanie,0.6596104298,0.6073320109,3.63,40
Loftus,Brian,0.5380210722,0.5093733681,3.55,27
Joyce,Kirsten,0.4671523002,0.5574856549,4.95,26
Jones,Cassandra,0.5014861836,0.6320939292,5.1,32
Miller,Bobbie ,0.5530823759,0.545761356,3.13,30
Castles,Jed ,0.6446217107,0.6718973052,4.41,43
Miller,Stan ,0.5824033373,0.4430174287,1.32,26
Payne,David ,0.8738283287,0.7301479319,7.95,64
Taylor,Amanda,0.7541544928,0.6408651862,5.43,48
Adler,Paul ,0.6977957042,0.6804634981,6.25,47
Dyer,Abby,0.62087829,0.712518198,9.06,44
Forhetz,Ethan ,0.8134066969,0.7108973344,7.11,58
Forhetz,Sara ,0.7067407116,0.6919979644,6.62,49
Grant,Steve ,0.8505538466,0.6996142513,7.33,60
Hearst,Ron ,0.8133669971,0.7968292079,13.01,65
Morehouse,Paula ,0.682957411,0.6299264433,5.64,43
Neider,Maria ,0.7368938837,0.6859900912,6.94,51
Plein,Chad ,0.54618393,0.6442613706,4.48,35
Rose,Lisa ,0.8330998236,0.731802298,7.08,61
Wood,Emily,0.5764788683,0.6148760569,4.7,35
Reynolds,Ned,0.8024335848,0.6359341426,3.16,51
Hickman,Joe,0.6027046595,0.593480708,3,36
Beck,Brandon,0.8237073245,0.8120446308,13.78,67
Combs,Felicia,0.4223768132,0.5822906233,3.99,25
Ahysen,Johnny,0.7141222098,0.5930119157,4.59,42
Caparotta,Steve ,0.7344443835,0.6900753146,6.16,51
Chawla,Kiran,0.5889437343,0.5615897053,5.36,33
Morrow,Jeff,0.7329688027,0.5948410426,4.2,44
Schneider,Steve,0.7179625324,0.6153539705,6.93,44
Ulkins,Graham,0.5947697247,0.5674757667,5.07,34
Westbrook,Lauren,0.7224331897,0.6488340765,6.73,47
Williams,Matt,0.8199012368,0.563510196,4.04,46
Davis,Kelsey,0.5597006514,0.6684807115,10.48,37
Deaton,Diane,0.8846889941,0.6888697093,5.1,61
Britt,Donna,0.8978588806,0.6869376747,5,62
Meriwether,Greg,0.8682285325,0.7122330467,8.19,62
Moreau,Andre’,0.8205020081,0.7235015344,7.1,59
Folse,John,0.7821398655,0.4973811531,1.99,39
Doucet,Jacques,0.7047978825,0.6531112621,4.81,46
Mercedes,Cheryl,0.6640382282,0.5862068558,3.41,39
Williams,Tyana,0.65684846,0.5957744806,3.53,39
Vowell,Elizabeth,0.3344643589,0.5343521051,3.5,18
Grymes,Jay,0.8814925813,0.7654320304,7.31,67
Marsh,Michael ,0.7714747495,0.5677757931,3.34,44
Vann,Whitney ,0.7265199991,0.5604928472,2.92,41
Weatherspoon,Sylvia ,0.8534022437,0.7234254246,6.48,62
Pastorek,John,0.7294499846,0.5776213271,2.39,42
Watts,Keller,0.3596035459,0.5102853936,5.48,18
Nakamoto,Chris,0.7032305287,0.5781540939,3.72,41
Weiss,Brittany,0.4445167333,0.5930178631,3.9,26
Shingleton,Pat,0.8661951548,0.7121799426,5.89,62
Thomas,Eric ,0.7877957301,0.7375151496,11.09,58
Nelson,Christine ,0.6133472048,0.7060927584,7.53,43
Conklin,Al ,0.6396392193,0.7538241315,12.33,48
Franson,Kelly,0.485463732,0.7150313761,7.64,35
Carter,John,0.6545225849,0.7449906195,6.1,49
Jo Francis,Sammi,0.3893826781,0.5204854841,2.26,20
Cameron,Paul,0.7709041319,0.7403711403,9.35,57
O’Boyle,Maureen,0.7362119042,0.7185578291,7.89,53
Mack,Brigida,0.6501760162,0.6013242545,4.33,39
Grantham,Molly,0.6428279364,0.6642134896,7.13,43
Boll,Jamie,0.4903370207,0.6604907972,7.93,32
Batey,Ashley,0.3730070805,0.6854703377,5.79,26
Panovich,Brad ,0.4861825891,0.7455756911,15.96,36
Wagner,Dave,0.414898605,0.5964374513,4.15,25
Cronin,Ira,0.4590271075,0.6236825447,4.07,29
Shelton,Heather,0.2601394974,0.4359594828,1.74,11
Sprinkle,Larry,0.7624244775,0.716328905,10.5,55
Gantt,Sonja,0.7554415871,0.6418350635,6.36,48
McGinty,Bill,0.4539237327,0.5559873261,3.68,25
Flowers,Anjanette,0.4328272746,0.5912250668,5.89,26
Chilton,Eric ,0.6787439614,0.7330960854,6.87,50
Gilmore,Grant,0.4758454106,0.5888324873,4,28
Luck,Julie,0.7786259542,0.6535947712,4.65,51
Mickens,Frank,0.7328244275,0.6527777778,4.27,48
Rivera,Tanya ,0.5623409669,0.6425339367,4.73,36
Fernandez,Jackie,0.4025423729,0.5052631579,2.29,20
Melvin,Lauren,0.3601694915,0.6705882353,6.33,24
Siltzer,Jay,0.4162436548,0.5914634146,2.62,25
Headrick,Holly,0.3756345178,0.7297297297,5.68,27
Wunder,Julie,0.5050761421,0.6532663317,5,33
Grimes,Darcel,0.6877897991,0.608988764,3.61,42
Pamfilis,Stan,0.4513137558,0.5856164384,3,26
Blunt,Larry,0.3910355487,0.6166007905,4.73,24
Boyer,Jason,0.372488408,0.7012448133,7.35,26
Hohenstein,Wes,0.322926668,0.5554894473,3.25,18
Reh,Bill,0.4776070174,0.5902653908,3.07,28
Tazewell,Sharon,0.323862272,0.579531775,3.28,19
Sanchez,Phil,0.2689885229,0.4697400556,2.24,13
Crawford,Page,0.2178404351,0.5273012801,4.66,11
Saulsby,Pam,0.7262961898,0.6011353596,3.8,44
Sanders,Melanie,0.3722182732,0.5719165992,6.43,21
Maroney,Sean,0.1958935731,0.4453764978,3.08,9
Avila,Jaie ,0.510975013,0.5377739419,3.4,27
Beamer,Randy ,0.7839562456,0.7562142309,9.29,59
Chancellor,David ,0.4729642531,0.545920511,3.25,26
Flores,Albert,0.7285149503,0.6765205656,5.82,49
Garofalo,Michael ,0.485480112,0.6131525579,4.32,30
Gerard,John ,0.5586143637,0.6391408469,5.04,36
Bohl,Leslie,0.6874845385,0.602367559,4.61,41
Ortiz,Jacqueline,0.5690992311,0.5901321666,3.62,34
Anders,Siobhain,0.3619201427,0.5775151115,3.21,21
Headley,Jessica,0.3923503929,0.621038123,3.86,24
Armbrecht,Greg,0.3472222222,0.4666666667,2.19,16
Cole,Serese,0.5769230769,0.637037037,9.56,37
Knicely,John ,0.9166666667,0.7247474747,6.83,66
LaPoint,Mike,0.5555555556,0.5666666667,3.16,31
Lemke,Cheryl,0.5138888889,0.4774774775,2.08,25
Lord,Rusty,0.7222222222,0.6627218935,5.89,48
Maddox,Malorie ,0.7962962963,0.7180232558,9.15,57
Mastre,Brian,0.7152777778,0.6084142395,5.88,44
Ochoa,Jacki,0.5902777778,0.5098039216,3.33,30
Smith,Matthew,0.3461538462,0.4938271605,2.5,17
Chiodo,Joe,0.3657407407,0.5253164557,3.07,19
Gunter,Brittany,0.3263888889,0.4539007092,2.37,15
Champion,John,0.5477170915,0.6004277644,3.94,33
Mallory,Mike,0.6399676101,0.6585794355,5.02,42
Rukavina,Jennifer,0.5484110564,0.6514306551,4.82,36
Worak,Johnette,0.5309179797,0.6285141862,5.39,33
Faulkner,Todd,0.5553786252,0.5846843834,3.71,32
Emerson,Laura,0.5053220692,0.5471288923,3.05,28
Okerson,Trent,0.442401414,0.6720566863,7.08,30
Hyland,Jackie,0.505141357,0.6621817257,7.76,33
Gardner,Elizabeth,0.8164244492,0.7158504671,8.16,58
Fishel,Greg,0.851832171,0.8584354629,17.12,73
Leslie,Bill,0.8055148008,0.7085735433,5.91,57
Chou,Renee,0.6714423279,0.6224042019,4.6,42
Shrader,Brian,0.5325949272,0.6911602069,5.63,37
Owens,Gerald,0.8516044449,0.722861375,11.85,62
Morgan,Debra,0.8200216299,0.7637065031,15.23,63
Crabtree,David,0.8012288768,0.720514808,11.68,58
Marsh,Michelle,0.5317991139,0.6233953661,3.59,33
Kiesling,Mark,0.3785426192,0.7481502855,13.96,28
Rasor,Jim,0.4734581028,0.7148845228,7.02,34
Schultz,Edan,0.4916958379,0.5988313025,3.66,29
Hunsperger,Kevin,0.3664741104,0.6315543047,4.83,23
Gray,Jalah,0.2713484364,0.5709239444,4.63,15
Smith,Ashley,0.3589256206,0.5273915143,4.17,19
Finnegan,Emily,0.3377900895,0.6283290578,5.43,21
Latos,Allison,0.5518052014,0.6532928762,5.24,36
Monday,Keith ,0.5922285924,0.7174017132,14.19,42
Udelson,Steve ,0.8418813879,0.7844224272,10.66,66
Daut,Peter,0.4829605245,0.5996462174,4.39,29
Taylor,Mark,0.3617912161,0.5195380269,2.74,19
Pasquarella,Natalie,0.7845397413,0.6976261893,9.55,55
Bryant,Erica,0.7629576214,0.7240424862,9.06,55
Miller,Blair,0.6552141537,0.6346537316,5.76,42
Wickersham,Scott,0.6423297723,0.6396242004,6.44,41
Cunningham,Fred,0.5,0.6345177665,3.79,32
Lee,Diane,0.4060913706,0.6,4.57,24
Rodgers,Malachi,0.4695431472,0.5945945946,4.58,28
Wood,Amy,0.6831530139,0.6447963801,4.6,44
Crabtree,Tom,0.6553323029,0.6226415094,4.63,41
Dill,Gordon,0.5100463679,0.5545454545,3.66,28
Yanity,Pete,0.4435857805,0.6236933798,4.37,28
Henderson,Christy,0.5301391036,0.7609329446,11.86,40
Bickford,Dan,0.3693972179,0.6652719665,5.48,25
Anderson,Jerry ,0.9140811456,0.7310704961,6.67,67
Lee,Jenna,0.3651551313,0.6209150327,4.32,23
Shiels,Robert,0.7899761337,0.6948640483,6.97,55
Vickers,Chris,0.6491646778,0.6544117647,5.24,42
Andrews,Melissa,0.7207637232,0.5562913907,3.23,40
Voss,Emilie,0.5489260143,0.6043478261,4.09,33
Jones,Brandon,0.3603818616,0.5099337748,2.41,18
James,Ashley,0.2816229117,0.6271186441,4.93,18
Hohmann,Chris ,0.6996356161,0.7389644045,15.17,52
Schwenneker,Don ,0.5488515275,0.7289669733,7.17,40
Shropshire,Fred,0.6195130034,0.6381844416,10.74,40
Stewart,Steve ,0.4047378733,0.6534944256,5.23,26
Gibbs,Barbara,0.6273536794,0.6576405432,5.26,41
Rupinta,Amber,0.5286881508,0.6890082675,13.24,36
Knute,Caitlin,0.4452113995,0.6064302213,4.75,27
Daniels,Steve,0.7187676787,0.6538852496,8.14,47
Stogner,Larry,0.7167245209,0.6915640046,9.95,50
Powell,Tisha,0.6947800102,0.6851156311,11.49,48
Brown,Joel,0.4635838416,0.5243858209,5.34,24
Waliga,Heather,0.3825017664,0.4841024791,4.42,19
Alvarez,Angelica,0.3500274476,0.5716920328,10.43,20
Laurel,Anna,0.3028691222,0.5738439353,6.52,17
Horton,Liz,0.3053642019,0.6233056632,5.36,19
Berschback,Jay ,0.7804295943,0.7614678899,12.45,59
Brey,Sashem ,0.8162291169,0.6871345029,8.39,56
Conklin,Lee ,0.9021479714,0.7671957672,11.15,69
Larson,Diane ,0.9093078759,0.7952755906,15.15,72
Smith,Jeff ,0.7565632458,0.6940063091,7.33,53
Spencer,Bill ,0.9164677804,0.71875,5.52,66
Brown,Kristian,0.7756563246,0.6307692308,6.61,49
Burns,Jeanne ,0.682029822,0.5923700575,4.07,40
Turner,Emily,0.3389402368,0.4178307367,1.3,14
Vinturella,Jesse,0.3304808244,0.4031470874,1.79,13
Gunkel,Jesse,0.5544795458,0.4568654728,2.33,25
Ducouer,Nicole,0.6313559322,0.6845637584,7.29,43
Kent,Cameron ,0.8040712468,0.75,7.41,60
Pope,Lanie ,0.7898550725,0.7003058104,5.45,55
Starke,Wanda ,0.8244274809,0.7191358025,6.47,59
Van Scoy,Kimberly ,0.75,0.7175141243,5.29,54
Vickers,Talitha,0.4915254237,0.5431034483,3.5,27
Caviness,Austin,0.7330508475,0.7341040462,7.47,54
Slocum,Brian,0.6059322034,0.6853146853,7,42
Kennedy,Michelle,0.5917874396,0.6979591837,6.84,41
Hart,Geoff,0.6395939086,0.6468253968,4.29,41
Brotherton,Beth,0.5710659898,0.6222222222,3.33,36
Muserallo,Sean,0.4593908629,0.635359116,4.11,29
Gilbert,Dale,0.6827411168,0.750929368,10.1,51
Goldsmith,Carol,0.7635239567,0.6376518219,4.92,49
Cogdill,Michael,0.7496136012,0.7257731959,8.8,54
Robertson,Nigel,0.6537867079,0.756501182,9.14,49
Komorowski,Gabrielle,0.4945904173,0.70625,6.85,35
Ruiz,Myra,0.4698608964,0.625,4.22,29
Rodriguez,Angela,0.4451313756,0.6145833333,6.1,27
Fralick,Brad,0.3230293663,0.5119617225,3.34,17
Dopher,Marc,0.2612055641,0.4911242604,2.52,13
Cessarich,John,0.7341576507,0.8084210526,13.71,59
Justus,Chris,0.3956723338,0.65625,6.22,26
Wright,Pamela,0.3261205564,0.5781990521,2.98,19
Colla,Connie,0.4826086957,0.4774774775,3.12,23
Hockridge,Stephanie,0.4272300469,0.510989011,3.21,22
Irvin,Steve ,0.5774647887,0.5447154472,3.72,31
Munro,Daphne,0.42,0.49,2.29,21
Murphy,Amy,0.4130434783,0.5263157895,2.38,22
Raml,Katie ,0.5774647887,0.6544715447,7.32,38
Spindle,Dan,0.36,0.45,2.64,16
Sullins,Amber ,0.4765258216,0.6600985222,6.38,31
Clay,Mike ,0.4526066351,0.5916230366,4.71,27
Marquez ,Juli ,0.4884792627,0.6698113208,7.1,33
Bruzual,Ybeth ,0.46,0.64,4.88,29
Turiano,Ali ,0.43,0.7,8,30
Barkann,Michael,0.7568093385,0.6838046272,6.19,52
Burke,Ron,0.7470817121,0.5677083333,5.19,42
Gunn,Derrick,0.7042801556,0.5773480663,4.98,41
Hartman,Neil,0.6420233463,0.5424242424,5.11,35
Fadool,Amy,0.6322957198,0.5138461538,3.41,32
Lynam,Dei,0.593385214,0.4983606557,3.17,30
Harris,Marshall,0.5428015564,0.4659498208,2.55,25
Boruk,John,0.53307393,0.4890510949,3.44,26
Salisbury,Jim,0.5233463035,0.5018587361,3.21,26
Gonzalez,John,0.4708171206,0.4049586777,1.61,19
Pommells,Danny,0.4630350195,0.4453781513,2.52,21
Panaccio,Tim,0.439688716,0.4690265487,2.52,21
Frank,Reuben,0.4007782101,0.3834951456,1.44,15
Mosher,Geoff,0.3190661479,0.4268292683,1.89,14
Baicker,Sarah,0.266536965,0.503649635,2.76,13
Martinez,Tony,0.63,0.65,5.94,41
Nelson,Mark,0.67,0.6,3.82,40
Warner,Heather,0.43,0.65,6.27,28
Jumper,Jeff,0.22,0.59,6.44,13
Pann,MaryEllen,0.39,0.61,4.59,24
Syoen,Jim,0.5800970874,0.6150627615,5.25,36
Lasseter,Cheryl,0.5159651512,0.6552689867,5.22,34
Redmond,Joy,0.4516493243,0.5027378899,2.61,23
Roberts,Dave,0.3143474043,0.5070657712,2.15,16
Redfield,Jude,0.46,0.73,6.11,34
Allen,Doug,0.84,0.73,7.73,61
Cooke,Dan ,0.7931034483,0.7554347826,13.9,60
Dicus,Howard ,0.8103448276,0.6861702128,6.14,56
Gutierrez,Ben ,0.7543424318,0.5888157895,3.89,44
Hagi,Guy ,0.905707196,0.7890410959,9.29,71
Joaquin,Tannya ,0.7419354839,0.6421404682,7.38,48
Kubota ,Lisa ,0.7146401985,0.5069444444,3.17,36
Lee,Grace,0.6551724138,0.6315789474,5.05,41
Lum,Stephanie ,0.841191067,0.7345132743,8.03,62
Robbins,Jennifer,0.3870967742,0.5,2.52,19
Tucker,Keahi ,0.8114143921,0.7370030581,8.93,60
Uyehara,Steve ,0.7715517241,0.748603352,8.38,58
Wharton,Ramsay ,0.5862068966,0.5735294118,4.88,34
Gregory,John,0.47,0.51,3.36,24
Hayes,Rob,0.33,0.46,2.59,15
Kemp,Garth,0.72,0.63,4.2,45
Lara,Jovana,0.54,0.51,2.92,28
Palmer ,Phillip ,0.606129,0.631086,4.68,38
Salvo,Christina,0.46,0.46,2.37,21
Sykes,Leslie ,0.68,0.59,3.98,40
Valle,Alysha,0.56,0.51,3.74,29
Winkler,Bri,0.5,0.5,3.04,25
Palmer,Phillip,0.57,0.61,4.32,35
Farris,Deb,0.695214,0.496377,2.45,35
Hatteberg,Larry,0.811083,0.642857,3.83,52
Herndon,Jeff,0.755668,0.606667,4.33,46
Holopirek,Jemelle,0.784211,0.530201,3.59,42
Iuen,Mike,0.778947,0.527027,3,41
Peters,Susan,0.879093,0.544413,2.44,48
Prater,Jay,0.798489,0.637224,5.18,51
Pringle,Ben,0.794737,0.642384,3.59,51
Smith,Blake,0.438287,0.488506,3.04,21
Swift,Tanner,0.43073,0.444444,2.38,19
Click,Carl ,0.63,0.6,4.43,38
Dunn,Steve ,0.74,0.64,5.82,47
